Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name,effect_size,lower_ci,upper_ci
Su 2015,Tachycardia,8/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Su,,,,,,
Abnormal ECG,Abnormal ECG,Abnormal ECG,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abnormal,,,,,,
Findling 2009,Abnormal ECG,1/326,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Findling 2010,Abnormal ECG,30/162,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Nasal congestion,Nasal congestion,Nasal congestion,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Nasal,,,,,,
Findling 2009,Nasal congestion,18/157,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Maayan 2009,Nasal congestion,1/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
Sangal 2006,Nasal congestion,10/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sangal,,,,,,
Palpitation,Palpitation,Palpitation,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Palpitation,,,,,,
Mohammadi 2004,Palpation,3/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Na 2013,Palpitations,8/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Shang 2015,Palpation,1/66,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Shang,,,,,,
Systolic blood pressure,Systolic blood pressure,Systolic blood pressure,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Systolic,,,,,,
Cho 2012,No difference,Non‐significant increase following methylphenidate,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cho,,,,,,
Döpfner 2011b,No difference,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Findling 2009,Increased,"The proportion of participants with a systolic blood pressure above the upper limit of normal (> 123 mmHg) ranged from 1% to 10%, whereas 1.5% had an above normal systolic blood pressure at baseline",,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Gadow 1995,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gadow,,,,,,
Germinario 2013,No difference,100.6 mmHg (SD = 12.3),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Germinario,,,,,,
Gerwe 2009,No difference,Mean change from baseline: 0.1 mmHg (SD = 10.8),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gerwe,,,,,,
Hazell 2003,Decreased,Drop in systolic blood pressure in 8/10 participants,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Kim 2010,Decreased,113.8 mmHg (SD = 10.2),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kratochvil 2002,Increased,102.2 mmHg (SD = 9.89),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lamberti 2015,Increased,105.4 mmHg (SD = 10.3),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lamberti,,,,,,
Maayan 2009,No difference,96.2 mmHg (SD = 14.0),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
McCracken 2016,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Na 2013,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Song 2012,Increased,105.3 mmHg (SD = 12.6),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Wilens 2005,Increased,104.7 mmHg (SD = 8.10),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Winsberg 1982,Increased,103.1 mmHg (SD = no information),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Winsberg,,,,,,
Yildiz 2011,Decreased,97 mmHg (SD = 10.8),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zheng 2011,No difference,96.6 mmHg (SD = 10.6),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Zheng 2015,No difference,No changes,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Diastolic blood pressure,Diastolic blood pressure,Diastolic blood pressure,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Diastolic,,,,,,
Cho 2012,No difference,"Non‐significant, marginal increase after methylphenidate",,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cho,,,,,,
Döpfner 2011b,Increased,69 mmHg (SD = 1.00),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Findling 2009,Decreased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Germinario 2013,Decreased,63.2 mmHg (SD = 10.9),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Germinario,,,,,,
Gerwe 2009,‐,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gerwe,,,,,,
Hazell 2003,Decreased,Drop in diastolic blood pressure in 9/10 participants,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Kim 2010,Decreased,75.2 mmHg (SD = 12.0),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kratochvil 2002,Increased,63.5 mmHg (SD = 7.90),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lamberti 2015,Increased,59.2 mmHg (SD = 7.10),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lamberti,,,,,,
Maayan 2009,No difference,61.4 mmHg (SD = 13.7),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
McCracken 2016,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Na 2013,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Song 2012,Increased,66.9 mmHg (SD = 10.1),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Yildiz 2011,Decreased,63.5 mmHg (SD = 12.0),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zheng 2011,Increased,64.6 mmHg (SD = 7.51),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Zheng 2015,No change,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Pulse rate,Pulse rate,Pulse rate,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Pulse,,,,,,
Cho 2012,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cho,,,,,,
Döpfner 2011b,No difference,79 beats/min (SD = 1.00),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Germinario 2013,Decreased,79.9 beats/min (SD = 12.9),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Germinario,,,,,,
Ilgenli 2007,No difference,88 beats/min (SD = 13.80),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ilgenli,,,,,,
Kim 2010,No difference,87.5 beats/min (SD = 6.10),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kim 2015a,Increased,86.4 beats/min (SD = 11.2),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kratochvil 2002,Increased,80.4 beats/min (SD = 9.70),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lamberti 2015,Increased,80.5 beats/min (SD = 15.5),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lamberti,,,,,,
Maayan 2009,Decreased,95.5 beats/min (SD = 16.0),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
McCracken 2016,Increased,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Na 2013,Increased,75.57 beats/min (SD = 7.33),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Yildiz 2011,Increased,80.8 beats/min (SD = 9.80),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zheng 2011,No difference,82.5 beats/min (SD = 7.81),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Zheng 2015,No difference,82.5 beats/min (SD = 7.81),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Özcan 2004,Decreased,148.2 beats/min (SD = 29.70),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Özcan,,,,,,
ECG‐QT,ECG‐QT,ECG‐QT,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,ECG‐QT,,,,,,
Cho 2012,Non‐significant change in QT and QRS,‐,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cho,,,,,,
Germinario 2013,‐,"After 24 months, out of 77 patients treated with methylphenidate: 8 (10.4%) with altered ECG (electrocardiogram) at 24 months 11 (29.0%) with sinus bradycardia 12 (31.6%) with sinus tachycardia 6 (15.8%) with lengthened QTc",,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Germinario,,,,,,
Ilgenli 2007,Minimum QT of 317.00 (23.3) Maximum QT of 373.7 (21.8),After 2 hours: Minimum QT of 322.3 (21.6) Maximum QT of 361.8 (29.0),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ilgenli,,,,,,
Lamberti 2015,QTc of 407.6 (12.4),After 2 hours: QTc of 409.8 (12.0),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lamberti,,,,,,
Cold fingers,Cold fingers,Cold fingers,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cold,,,,,,
Khajehpiri 2014,Cold fingers,13/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Khajehpiri,,,,,,
Sweating,Sweating,Sweating,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sweating,,,,,,
Khajehpiri 2014,Sweating,6/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Khajehpiri,,,,,,
Hypertension,Hypertension,Hypertension,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hypertension,,,,,,
Cortese 2015,Hypertension,8/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
Hypotension,Hypotension,Hypotension,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hypotension,,,,,,
Cortese 2015,Hypotension,3/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
"Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders","Respiratory, thoracic and mediastinal disorders",,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,"Respiratory,",,thoracic and media,,,,
Haertling 2015,"Respiratory, thoracic, and mediastinal disorders",1/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Proportion of patients with micro‐nucleated (Mn) peripheral lymphocytes,Proportion of patients with micro‐nucleated (Mn) peripheral lymphocytes,Proportion of patients with micro‐nucleated (Mn) peripheral lymphocytes,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Proportion,,of patients with micro‐nucleated (Mn) periph,,,,
Walitza 2009,(MN‐Cells/1000 Cells mean),Baseline: 4.90 (SD = 4.00) 6 months: 4.50 (SD = 3.50),,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Walitza,,,,,,
3.1 Cough,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,1,,Cough,,,
3.2 Pharyngolaryngeal pain,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,2,,Pharyngolaryngeal pain,,,
3.3 Upper respiratory tract infection,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,3,,Upper respiratory tract infection,,,
3.4 Tachycardia,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,4,,Tachycardia,,,
3.5 Abnormal ECG,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,5,,Abnormal ECG,,,
3.6 Nasal congestion,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,6,,Nasal congestion,,,
3.7 Palpitation,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,7,,Palpitation,,,
3.8 Systolic blood pressure,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,8,,Systolic blood pressure,,,
3.9 Diastolic blood pressure,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,9,,Diastolic blood pressure,,,
3.10 Pulse rate,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,10,,Pulse rate,,,
3.11 ECG‐QT,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,11,,ECG‐QT,,,
3.12 Cold fingers,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,12,,Cold fingers,,,
3.13 Sweating,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,13,,Sweating,,,
3.14 Hypertension,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,14,,Hypertension,,,
3.15 Hypotension,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,15,,Hypotension,,,
"3.16 Respiratory, thoracic and mediastinal disorders",,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,16,,"Respiratory, thoracic and mediastinal disorders",,,
3.17 Proportion of patients with micro‐nucleated (Mn) peripheral lymphocytes,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,3,17,,Proportion of patients with micro‐nucleated (Mn) peripheral lymphocytes,,,
4 Gastrointestinal system Show forest plot,,,Other data,No numeric data,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,4,,Gastrointestinal system,,,,
Study,Symptom,Adverse events/total number of participants,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Study,,,,,,
Abdominal pain,Abdominal pain,Abdominal pain,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abdominal,,,,,,
Abbasi 2011,Abdominal pain,8/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Akhondzadeh 2003,Abdominal pain,3/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Akhondzadeh 2004,Abdominal pain,4/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Amiri 2008,Abdominal pain,7/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Amiri,,,,,,
Ardic 2014,Stomach ache,16/101,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ardic,,,,,,
Arnold 2004,Abdominal pain,15/89,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Arnold 2010,Abdominal pain,7/150,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Atzori 2009,Stomach pain,3/129,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Atzori,,,,,,
Barrickman 1995,Stomach ache,1/15,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Barrickman,,,,,,
Berek 2011,Abdominal pain,12/762,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Berek,,,,,,
Blader 2010,Abdominal pain,6/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Chou 2012b,Abdominal pain,12/230,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Chou,,,,,,
Cortese 2015,Abdominal pain,22/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
Davari‐Ashtiani 2010,Abdominal pain,1/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Dirksen 2002,Stomach ache,14/287,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dirksen,,,,,,
Dittmann 2014,Upper abdominal pain,4/195,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dittmann,,,,,,
"Döpfner 2011a, OBSEER",Gastrointestinal pain,9/777,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Döpfner 2011b,Gastrointestinal pain,6/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Efron 1997,Stomach aches,40/123,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Efron,,,,,,
El‐Fiky 2014,Stomach aches,9/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,El‐Fiky,,,,,,
Findling 2009,Abdominal pain,27/157,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Findling,,,,,,
Garg 2014,Abdominal pain,3/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Garg,,,,,,
Gau 2006,Stomach aches,8/32,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gau,,,,,,
Gerwe 2009,Abdominal pain,10/306,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gerwe,,,,,,
Golubchik 2011,Abdominal pain,1/9,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Golubchik,,,,,,
Grcevich 2001,Stomach ache,2/75,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Grcevich,,,,,,
Green 2011,Stomach aches,9/34,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Green,,,,,,
Greenhill 1983,Stomach aches,4/7,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Greenhill,,,,,,
Gucuyener 2003,Stomach ache,14/119,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Gucuyener,,,,,,
Haertling 2015,Abdominal pain,4/239,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Haertling,,,,,,
Hammerness 2009,Stomach ache,2/57,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hammerness,,,,,,
Hazell 2003,Stomach pain,6/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Hazell,,,,,,
Işeri 2007,Abdominal pain,3/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Işeri,,,,,,
Jafarinia 2012,Abdominal pain,6/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Jafarinia,,,,,,
Kemner 2005 (FOCUS),Abdominal pain,33/850,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kemner,,,,,,
Khajehpiri 2014,Abdominal pain,9/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Khajehpiri,,,,,,
Kim 2010,Abdominal pain,1/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kim,,,,,,
Kordon 2011,Abdominal pain,11/541,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kordon,,,,,,
Kratochvil 2002,Abdominal pain,7/25,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Kratochvil,,,,,,
Lee 2007,Abdominal pain,6/110,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lee,,,,,,
Li 2011,Abdominal pain,12/34,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Li,,,,,,
Lyon 2010,Stomach discomfort,2/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Lyon,,,,,,
Maayan 2009,Gastrointestinal pain,2/8,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maayan,,,,,,
Maia 2008,Stomach ache,2/31,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Maia,,,,,,
McCracken 2016,Abdominal pain,28/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,McCracken,,,,,,
Mohammadi 2004,Abdominal pain,0/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2010,Abdominal pain,8/19,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2012a,Stomach ache,5/23,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Mohammadi 2012b,Abdominal pain,5/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Na 2013,Stomach ache (abdominal pain),19/103,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Na,,,,,,
Perera 2010,Abdominal pain,15/102,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Perera,,,,,,
Peyre 2012a,Abdominal pain,7/121,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Peyre,,,,,,
Pierce 2010,Abdominal pain,3/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Pierce,,,,,,
Remschmidt 2005,Abdominal pain,3/89,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Remschmidt,,,,,,
Sahin 2014,Abdominal pain,7/30,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sahin,,,,,,
Sangal 2006,Abdominal pain,4/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Sangal,,,,,,
Schulz 2010,Abdominal pain,9/145,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Schulz,,,,,,
Shang 2015,Abdominal pain,4/66,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Shang,,,,,,
Silva 2004,Stomach ache,3/22,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Silva,,,,,,
Song 2012,Abdominal pain,20/116,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Song,,,,,,
Steele 2006,Abdominal pain,10/72,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Steele,,,,,,
Su 2015,Abdominal pain,10/205,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Su,,,,,,
Tasdelen 2015,Abdominal pain,4/17,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Tasdelen,,,,,,
Thorell 2009,Stomach aches,2/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Thorell,,,,,,
Valdizán Usón 2004,Abdominal pain,1/155,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Valdizán,,,,,,
Wang 2007,Abdominal pain,15/166,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wang,,,,,,
Warshaw 2010,Abdominal pain,9/260,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Warshaw,,,,,,
Weiss 2007,Abdominal pain,5/79,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Weiss,,,,,,
Wigal 2013,Abdominal pain,17/39,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Wigal 2015,Abdominal pain,29/200,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wigal,,,,,,
Wilens 2005,Abdominal pain,45/229,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Wilens 2006,Abdominal pain,9/220,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Wilens 2008,Abdominal pain,15/127,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Wilens,,,,,,
Yildiz 2010,Stomach ache,6/47,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Yildiz 2011,Abdominal pain,3/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Yildiz,,,,,,
Zarinara 2010,Abdominal pain,3/18,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zarinara,,,,,,
Zelnik 2015,Abdominal pain,36/128,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zelnik,,,,,,
Zheng 2011,Stomach ache,140/1154,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Zheng,,,,,,
Çetin 2015,Stomach ache,3/61,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Çetin,,,,,,
Constipation,Constipation,Constipation,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Constipation,,,,,,
Ardic 2014,Constipation,10/101,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ardic,,,,,,
Khajehpiri 2014,Constipation,4/71,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Khajehpiri,,,,,,
Mohammadi 2004,Constipation,2/11,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Mohammadi,,,,,,
Shang 2015,Constipation,1/66,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Shang,,,,,,
Decreased appetite,Decreased appetite,Decreased appetite,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Decreased,,,,,,
Abbas 2006,Loss of appetite,2/90,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbas,,,,,,
Abbasi 2011,Loss of appetite,12/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Abbasi,,,,,,
Akhondzadeh 2003,Decreased appetite,5/10,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Akhondzadeh 2004,Decreased appetite,8/20,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Akhondzadeh,,,,,,
Altin 2013,Decreased appetite,27/221,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Altin,,,,,,
Amiri 2008,Decreased appetite,26/27,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Amiri,,,,,,
Ardic 2014,Decreased appetite,47/101,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Ardic,,,,,,
Arnold 2010,Loss of appetite,11/150,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Arnold,,,,,,
Atzori 2009,Decreased appetite,27/129,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Atzori,,,,,,
Blader 2010,Decreased appetite,13/65,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Blader,,,,,,
Chazan 2011,Decreased appetite,118/205,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Chazan,,,,,,
Chou 2012b,Decreased appetite,95/230,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Chou,,,,,,
Cortese 2015,Decreased appetite,213/1426,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Cortese,,,,,,
Coşkun 2010,Decreased appetite,3/7,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Coşkun,,,,,,
Davari‐Ashtiani 2010,Loss of appetite,11/16,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Davari‐Ashtiani,,,,,,
Dirksen 2002,Decreased appetite,8/287,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dirksen,,,,,,
Dittmann 2014,Lack of appetite,5/195,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Dittmann,,,,,,
"Döpfner 2011a, OBSEER",Decreased appetite,8/777,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
Döpfner 2011b,Decreased appetite,3/113,,,Non‐comparative studies: proportion of participants with non‐serious adverse events,17,Döpfner,,,,,,
